"OPE_ID","Institution_Name","Institution_City","Institution_State","Institution Type And Control","Total_Awards","Total_Recipients"
"141700","UNIVERSITY OF CONNECTICUT-STORRS","STORRS","CT","Public 4 Year","24068551","5630"
"142200","UNIVERSITY OF HARTFORD","WEST HARTFORD","CT","Private 4 Year","5824865","1421"
"139700","UNIVERSITY OF NEW HAVEN","WEST HAVEN","CT","Private 4 Year","5266006","1292"
"140900","UNIVERSITY OF SAINT JOSEPH","WEST HARTFORD","CT","Private 4 Year","1546057","380"
"1169700","VINAL REGIONAL VOC TECH SCHOOL","MIDDLETOWN","CT","Public 2 Year","68079","14"
"2300000","W F KAYNOR TECHNICAL HIGH SCHOOL","WATERBURY","CT","Public 2 Year","76331","15"
"142400","WESLEYAN UNIVERSITY","MIDDLETOWN","CT","Private 4 Year","2602601","560"
"138000","WESTERN CONNECTICUT STATE UNIV","DANBURY","CT","Public 4 Year","7829337","1950"
"2265900","WINDHAM COMMUNITY MEM HOSP-RAD TECH","WILLIMANTIC","CT","Private 2 Year","23135","5"
"731100","WINDHAM TECHNICAL HIGH SCHOOL","WILLIMANTIC","CT","Public 2 Year","31560","8"
"142600","YALE UNIVERSITY","NEW HAVEN","CT","Private 4 Year","3121776","724"
"143400","AMERICAN UNIVERSITY","WASHINGTON","DC","Private 4 Year","5654876","1352"
"3409600","BENNETT CAREER INSTITUTE","WASHINGTON","DC","Proprietary 2 Year","723609","219"
"3104300","CAREER BLAZERS LEARNING CENTER OF WASHIN","WASHINGTON","DC","Proprietary 2 Year","2026537","567"
"143700","CATHOLIC UNIVERSITY OF AMERICA","WASHINGTON","DC","Private 4 Year","1937482","501"
"144300","GALLAUDET UNIVERSITY","WASHINGTON","DC","Private 4 Year","2588385","555"
"144400","GEORGE WASHINGTON UNIVERSITY","WASHINGTON","DC","Private 4 Year","6592424","1557"
"144500","GEORGETOWN UNIVERSITY","WASHINGTON","DC","Private 4 Year","4130195","960"
"4202500","GRADUATE SCHOOL","WASHINGTON","DC","Private 2 Year","21774","8"
"144800","HOWARD UNIVERSITY","WASHINGTON","DC","Private 4 Year","15645909","3506"
"2132800","NAT'L CONSERVATORY DRAMATIC ARTS","WASHINGTON","DC","Private 2 Year","100093","25"
"3218300","POTOMAC COLLEGE","WASHINGTON","DC","Proprietary 4 Year","541150","143"
"4190000","RADIANS COLLEGE","WASHINGTON","DC","Proprietary 2 Year","2065857","581"
"145900","STRAYER UNIVERSITY","WASHINGTON","DC","Proprietary 4 Year","77462131","24190"
"3750300","TECHNICAL LEARNING CENTERS","WASHINGTON","DC","Proprietary 2 Year","1718636","406"
"146000","TRINITY UNIVERSITY","WASHINGTON","DC","Private 4 Year","5214226","1292"
"144100","UNIV OF THE DISTRICT OF COLUMBIA","WASHINGTON","DC","Public 4 Year","9515113","2768"
"4130700","ACADEMY OF MASSAGE AND BODYWORK","BEAR","DE","Proprietary 2 Year","94540","30"
"3025800","DAWN TRAINING CENTRE","WILMINGTON","DE","Proprietary 2 Year","1982604","507"
"4139800","DELAWARE COLLEGE OF ART & DESIGN","WILMINGTON","DE","Private 2 Year","357644","81"
"3702300","DELAWARE LEARNING INSTITUTE OF COSMETOLO","DAGSBORO","DE","Proprietary 2 Year","224760","56"
"142800","DELAWARE STATE UNIVERSITY","DOVER","DE","Public 4 Year","9088730","2107"
"1172700","DELAWARE TECHNICAL COMMUNITY COLLEGE","DOVER","DE","Public 2 Year","5309483","1719"
"1172703","DELAWARE TECHNICAL COMMUNITY COLLEGE -","WILMINGTON","DE","Public 2 Year","8863387","3034"
"705300","DELAWARE TECHNICAL COMMUNITY COLLEGE - O","GEORGETOWN","DE","Public 2 Year","7802646","2449"
"142900","GOLDEY BEACOM COLLEGE","WILMINGTON","DE","Private 4 Year","957054","238"
"3543300","HARRIS SCHOOL OF BUSINESS","WILMINGTON","DE","Proprietary 2 Year","1671177","520"
"4171100","PAUL MITCHELL THE SCHOOL-DELAWARE","NEWARK","DE","Proprietary 2 Year","443894","121"
"2190400","SCHILLING DOUGLAS SCH OF HAIR DSGN","NEWARK","DE","Proprietary 2 Year","365885","105"
"2125200","SCHOOL OF NURSING BEEBE MEDICAL CENTER","LEWES","DE","Private 2 Year","43329","14"
"143100","UNIVERSITY OF DELAWARE","NEWARK","DE","Public 4 Year","10670115","2647"
"143300","WESLEY COLLEGE","DOVER","DE","Private 4 Year","3280340","755"
"794800","WILMINGTON UNIVERSITY","NEW CASTLE","DE","Private 4 Year","13242818","3827"
"3346300","ACAD FOR PRAC NURSING & HEALTH OCCP","WEST PALM BEACH","FL","Private 2 Year","1913246","548"
"4126900","ACADEMY OF CAREER TRAINING","KISSIMMEE","FL","Proprietary 2 Year","510501","161"
"2499000","ACADEMY OF COSMETOLOGY","MERRITT ISLAND","FL","Proprietary 2 Year","491966","156"
"3113400","ACADEMY OF HEALING ARTS","LAKE WORTH","FL","Proprietary 2 Year","147668","43"
"3414500","ACUPUNCTURE AND MASSAGE COLLEGE","MIAMI","FL","Proprietary 4 Year","288261","82"
"3757300","ADVANCE SCIENCE INSTITUTE","HIALEAH","FL","Proprietary 2 Year","143474","39"
"2293600","ADVANCED TECHNICAL CENTERS","MIAMI SPRINGS","FL","Private 2 Year","39001","14"
"3115500","ADVENTIST UNIVERSITY OF HEALTH SCIENCES","ORLANDO","FL","Private 4 Year","2287535","843"
"4157100","AEROSIM FLIGHT ACADEMY","SANFORD","FL","Proprietary 2 Year","81116","38"
"4135900","ALLIED HEALTH INSTITUTE","NORTH LAUDERDALE","FL","Proprietary 4 Year","1672460","460"
"4195100","AMBIANCE BEAUTY & BARBER ACADEMY","MELBORNE","FL","Proprietary 2 Year","202390","55"
"4151500","AMERICAN ACADEMY OF COSMETOLOGY","ORANGE PARK","FL","Proprietary 2 Year","379914","116"
"3491400","AMERICAN ADVANCED TECHNICIANS INST","HIALEAH","FL","Proprietary 2 Year","339680","132"
"4176900","AMERICAN HEALTH INSTITUTE","PORT RICHEY","FL","Proprietary 2 Year","237735","61"
"3706300","AMERICAN INSTITUTE","LAUDERDALE LAKES","FL","Proprietary 2 Year","749357","247"
"4016500","AMERICAN INSTITUTE OF BEAUTY","LARGO","FL","Proprietary 2 Year","823904","283"
"4192100","AMERICAN MEDICAL ACADEMY","MIAMI","FL","Proprietary 2 Year","296467","101"
"4194200","APARICIO-LEVY TECHNICAL CENTER","TAMPA","FL","Public 2 Year","68691","21"
"1019500","ART INSTITUTE OF FT LAUDERDALE","FORT LAUDERDALE","FL","Proprietary 4 Year","4547667","1273"
"3816300","ARTISTIC NAILS & BEAUTY ACADEMY","TAMPA","FL","Proprietary 2 Year","1120670","388"
"3012300","ASM BEAUTY WORLD ACADEMY","HOLLYWOOD","FL","Proprietary 2 Year","277557","102"
"1226300","ATLANTIC TECHNICAL CENTER","COCONUT CREEK","FL","Public 2 Year","1429000","394"
"4233900","ATLANTIS UNIVERSITY","MIAMI","FL","Proprietary 4 Year","43692","10"
"3941300","AVE MARIA UNIVERSITY","AVE MARIA","FL","Private 4 Year","1321625","296"
"4119400","AVEDA INSTITUTE - SAINT PETERSBURG","SAINT PETERSBURG","FL","Proprietary 2 Year","2027516","516"
"4134800","AVEDA INSTITUTE - TALLAHASSEE","TALLAHASSEE","FL","Proprietary 2 Year","1676550","422"
"4156400","AVIATION INSTITUTE OF MAINTENANCE","ORLANDO","FL","Proprietary 2 Year","1026131","265"
"3986300","AVIATOR COLLEGE OF AERONAUTICAL SCIENCE","FORT PIERCE","FL","Proprietary 2 Year","98589","28"
"4216600","AZURE COLLEGE","MIAMI GARDENS","FL","Proprietary 2 Year","1033440","300"
"2159600","BAPTIST COLLEGE OF FLORIDA (THE)","GRACEVILLE","FL","Private 4 Year","1161949","305"
"146600","BARRY UNIVERSITY","MIAMI SHORES","FL","Private 4 Year","9232981","2231"
"3373300","BEACON COLLEGE","LEESBURG","FL","Private 4 Year","288733","67"
"4170300","BEAUTY ACADEMY OF SOUTH FLORIDA","HIALEAH","FL","Proprietary 2 Year","932248","255"
"4228900","BEAUTY ANATOMY INSTITUTE OF COSMETOLOGY","POMPANO BEACH","FL","Proprietary 2 Year","98040","31"
"4204600","BEAUTY AND HEALTH INSTITUTE","TAMPA","FL","Proprietary 2 Year","296997","82"
"3801400","BEAUTY INSTITUTE (THE)","WEST PALM BEACH","FL","Proprietary 2 Year","200522","48"
"2283800","BEAUTY SCHOOLS OF AMERICA","HIALEAH","FL","Proprietary 2 Year","9096449","2624"
"3018500","BENE'S INTERNATIONAL SCHOOL OF BEAUTY","NEW PORT RICHEY","FL","Proprietary 2 Year","1191545","360"
"146700","BETHUNE COOKMAN UNIVERSITY","DAYTONA BEACH","FL","Private 4 Year","14825712","3223"
"4221200","BLY'S SCHOOL OF COSMETOLOGY","GAINESVILLE","FL","Proprietary 2 Year","206817","69"
"4217800","BOCA BEAUTY ACADEMY","BOCA RATON","FL","Proprietary 2 Year","366408","118"
"2200100","BRADENTON BEAUTY & BARBER ACADEMY","BRADENTON","FL","Proprietary 2 Year","308391","82"
"3382300","BRADFORD-UNION AREA CAREERTECHNICAL CENT","STARKE","FL","Public 2 Year","300923","83"
"150000","BROWARD COLLEGE- DOWNTOWN CTR","FORT LAUDERDALE","FL","Public 4 Year","89587819","29581"
"4234500","BURNETT INTERNATIONAL COLLEGE","BOYNTON BEACH","FL","Proprietary 2 Year","308675","76"
"3842500","CAMBRIDGE INSTITUTE OF ALLIED HEALTH","LONGWOOD","FL","Proprietary 2 Year","545918","158"
"4083400","CAMBRIDGE INSTITUTE OF ALLIED HEALTH & T","DELRAY BEACH","FL","Proprietary 2 Year","1104203","278"
"4145900","CELEBRITY SCHOOL OF BEAUTY","MIAMI","FL","Proprietary 2 Year","606851","186"
"3425400","CENTRAL FLORIDA INSTITUTE","PALM HARBOR","FL","Proprietary 2 Year","60169","18"
"3939400","CENTURA INSTITUTE","ORLANDO","FL","Proprietary 2 Year","318008","112"
"2297000","CHARLOTTE TECHNICAL CENTER","PORT CHARLOTTE","FL","Public 2 Year","509866","124"
"147200","CHIPOLA  COLLEGE","MARIANNA","FL","Public 4 Year","3385828","925"
"3230300","CHOICE HIGH SCHOOL AND TECHNICAL CENTER","FORT WALTON BEACH","FL","Public 2 Year","809682","231"
"2515400","CITY COLLEGE","FORT LAUDERDALE","FL","Private 4 Year","6690341","1787"
"3079900","CITY COLLEGE","ALTAMONTE SPRINGS","FL","Private 2 Year","1702626","498"
"147300","CLEARWATER CHRISTIAN COLLEGE","CLEARWATER","FL","Private 4 Year","854535","212"
"3071600","COLLEGE OF BUSINESS & TECHNOLOGY","MIAMI","FL","Proprietary 4 Year","4010168","979"
"147100","COLLEGE OF CENTRAL FLORIDA","OCALA","FL","Public 4 Year","17403107","5136"
"3985300","COMMERCIAL DIVING ACADEMY","JACKSONVILLE","FL","Proprietary 2 Year","1184283","348"
"3108600","COM-PU-MED VOCATIONAL CAREERS","HIALEAH","FL","Proprietary 2 Year","1701197","415"
"2089600","CONCORDE CAREER INSTITUTE","JACKSONVILLE","FL","Proprietary 2 Year","3932345","1048"
"2172700","CONCORDE CAREER INSTITUTE","TAMPA","FL","Proprietary 2 Year","1632548","429"
"2275100","CONCORDE CAREER INSTITUTE","MIRAMAR","FL","Proprietary 2 Year","1809938","483"
"2279600","CORTIVA INSTITUTE - FLORIDA","PINELLAS PARK","FL","Proprietary 2 Year","1046421","304"
"4135000","COZMO THE SCHOOL","BONITA SPRINGS","FL","Proprietary 2 Year","172577","56"
"559400","D G ERWIN TECHNICAL CENTER","TAMPA","FL","Public 2 Year","2118554","649"
"4164600","D. A. DORSEY EDUCATIONAL CENTER","MIAMI","FL","Public 2 Year","217486","76"
"3832300","DADE MEDICAL COLLEGE","MIAMI","FL","Proprietary 4 Year","10268638","2376"
"3939600","DAYTONA COLLEGE","ORMOND BEACH","FL","Proprietary 2 Year","1114641","307"
"147500","DAYTONA STATE COLLEGE","DAYTONA BEACH","FL","Public 4 Year","28460339","8820"
"4127400","DIGITAL MEDIA ARTS COLLEGE","BOCA RATON","FL","Proprietary 4 Year","1071404","259"
"147000","EASTERN FLORIDA STATE COLLEGE","COCOA","FL","Public 4 Year","25956165","8040"
"148700","ECKERD COLLEGE","ST PETERSBURG","FL","Private 4 Year","1880417","471"
"147800","EDWARD WATERS COLLEGE","JACKSONVILLE","FL","Private 4 Year","3759133","827"
"147900","EMBRY-RIDDLE AERONAUTICAL UNIV","DAYTONA BEACH","FL","Private 4 Year","17276803","5313"
"3570400","ENGLISH CENTER (THE)","MIAMI","FL","Public 2 Year","87237","40"
"4172300","ETERNITY COSMETOLOGY SCHOOL","WEST PALM BEACH","FL","Proprietary 2 Year","673848","195"
"4164500","EUREKA INSTITUTE OF HEALTH AND BEAUTY","MIAMI","FL","Proprietary 2 Year","205087","51"
"149900","EVEREST UNIVERSITY","ORLANDO","FL","Private 4 Year","101783727","29318"
"3108500","EVERGLADES UNIVERSITY","BOCA RATON","FL","Private 4 Year","4219480","986"
"2148200","FASHION FOCUS HAIR ACADEMY","SARASOTA","FL","Proprietary 2 Year","167344","49"
"4229700","FIRST COAST BARBER ACADEMY","JACKSONVILLE","FL","Proprietary 2 Year","56618","15"
"1254400","FIRST COAST TECHNICAL COLLEGE","ST. AUGUSTINE","FL","Public 2 Year","1577292","530"
"789300","FLAGLER COLLEGE","SAINT AUGUSTINE","FL","Private 4 Year","4577388","1142"
"4158300","FLAGLER TECHNICAL INSTITUTE","PALM COAST","FL","Public 2 Year","165142","53"
"148000","FLORIDA A & M UNIVERSITY","TALLAHASSEE","FL","Public 4 Year","24792422","5634"
"4188300","FLORIDA ACADEMY","FORT MYERS","FL","Proprietary 2 Year","554567","148"
"3823300","FLORIDA ACADEMY OF HEALTH & BEAUTY","WILTON MANOR","FL","Proprietary 2 Year","128320","36"
"148100","FLORIDA ATLANTIC UNIVERSITY","BOCA RATON","FL","Public 4 Year","42084510","11206"
"3611400","FLORIDA BARBER ACADEMY","DEERFIELD BEACH","FL","Proprietary 2 Year","965247","295"
"2305800","FLORIDA CAREER COLLEGE","HIALEAH","FL","Proprietary 4 Year","16762589","5764"
"2305810","FLORIDA CAREER COLLEGE - CLEARWATER","CLEARWATER","FL","Proprietary 4 Year","354076","99"
"148200","FLORIDA COLLEGE","TEMPLE TERRACE","FL","Private 4 Year","711094","183"
"3008600","FLORIDA COLLEGE OF NATURAL HEALTH","POMPANO BEACH","FL","Proprietary 2 Year","1573587","546"
"3627600","FLORIDA EDUCATION INSTITUTE","MIAMI","FL","Proprietary 2 Year","1243740","328"
"150100","FLORIDA GATEWAY COLLEGE","LAKE CITY","FL","Public 4 Year","4060553","1308"
"3255300","FLORIDA GULF COAST UNIVERSITY","FORT MYERS","FL","Public 4 Year","18860124","4727"
"3618300","FLORIDA INSTITUTE OF ANIMAL ARTS","WINTER PARK","FL","Proprietary 2 Year","803596","200"
"146900","FLORIDA INSTITUTE OF TECHNOLOGY","MELBOURNE","FL","Private 4 Year","10014077","3016"
"2329900","FLORIDA INSTITUTE OF ULTRASOUND","PENSACOLA","FL","Proprietary 2 Year","109870","28"
"4238400","FLORIDA INTERNATIONAL TRAINING INSTITUTE","DORAL","FL","Proprietary 2 Year","154601","46"
"963500","FLORIDA INTERNATIONAL UNIVERSITY","MIAMI","FL","Public 4 Year","86423644","21690"
"148500","FLORIDA KEYS COMMUNITY COLLEGE","KEY WEST","FL","Public 2 Year","1223044","373"
"148600","FLORIDA MEMORIAL UNIVERSITY","MIAMI GARDENS","FL","Private 4 Year","5627290","1218"
"2547600","FLORIDA NATIONAL COLLEGE","HIALEAH","FL","Proprietary 4 Year","9304214","2405"
"4129900","FLORIDA SCHOOL OF MASSAGE","GAINESVILLE","FL","Proprietary 2 Year","292803","85"
"3856500","FLORIDA SCHOOL OF TRADITIONAL MIDWIFERY","GAINESVILLE","FL","Private 2 Year","95855","25"
"148800","FLORIDA SOUTHERN COLLEGE","LAKELAND","FL","Private 4 Year","2870004","695"
"147700","FLORIDA SOUTHWESTERN STATE COLLEGE","FORT MYERS","FL","Public 4 Year","23186644","6784"
"148400","FLORIDA STATE COLLEGE AT JACKSONVILLE","JACKSONVILLE","FL","Public 4 Year","41771127","12931"
"148900","FLORIDA STATE UNIVERSITY","TALLAHASSEE","FL","Public 4 Year","41688442","10383"
"2218700","FLORIDA TECHNICAL COLLEGE","ORLANDO","FL","Proprietary 4 Year","16760794","4856"
"4206300","FLORIDA VOCATIONAL INSTITUTE","MIAMI","FL","Proprietary 2 Year","507164","139"
"2245500","FORTIS COLLEGE","WINTER PARK","FL","Proprietary 4 Year","2492315","678"
"3434300","FORTIS COLLEGE","ORANGE PARK","FL","Proprietary 2 Year","1437043","403"
"3096300","FORTIS INSTITUTE","MULBERRY","FL","Proprietary 2 Year","122840","41"
"4225800","FRED D. LEAREY TECHNICAL CENTER","TAMPA","FL","Public 2 Year","54555","14"
"2338400","FT PIERCE BEAUTY ACADEMY","FORT PIERCE","FL","Proprietary 2 Year","1091754","328"
"2362100","FULL SAIL UNIVERSITY","WINTER PARK","FL","Proprietary 4 Year","54930629","13006"
"4133900","FUTURA CAREER INSTITUTE","HIALEAH","FL","Proprietary 2 Year","700313","198"
"4116400","FUTURE-TECH INSTITUTE","MIAMI","FL","Proprietary 2 Year","879458","214"
"2307400","GEORGE STONE AREA VOCATIONAL TECHNICAL","PENSACOLA","FL","Public 2 Year","897563","295"
"3079800","GEORGE T BAKER AVIATION","MIAMI","FL","Public 2 Year","1143902","414"
"149000","GULF COAST STATE COLLEGE","PANAMA CITY","FL","Public 4 Year","9618364","2979"
"2601600","HENRY W BREWSTER TECHNICAL CENTER","TAMPA","FL","Public 2 Year","588396","166"
"2597100","HERITAGE INSTITUTE","FORT MYERS","FL","Proprietary 2 Year","2880161","770"
"3035800","HERITAGE INSTITUTE","JACKSONVILLE","FL","Proprietary 2 Year","1381404","405"
"787000","HILLSBOROUGH COMMUNITY COLLEGE","TAMPA","FL","Public 2 Year","49521861","14836"
"4120400","HI-TECH SCHOOL OF COSMETOLOGY","MIAMI","FL","Proprietary 2 Year","356255","104"
"2188900","HOBE SOUND BIBLE COLLEGE","HOBE SOUND","FL","Private 4 Year","481476","127"
"3037500","HODGES UNIVERSITY","NAPLES","FL","Private 4 Year","8012316","2234"
"4162500","HOLLYWOOD INSTITUTE OF BEAUTY CAREERS","HOLLYWOOD","FL","Proprietary 2 Year","2800942","857"
"4150800","IMMOKALEE TECHNICAL CENTER","IMMOKALEE","FL","Public 2 Year","450981","128"
"149300","INDIAN RIVER STATE COLLEGE","FORT PIERCE","FL","Public 4 Year","28077699","8414"
"4223400","INTERAMERICAN TECHNICAL INSTITUTE","MIAMI","FL","Proprietary 2 Year","391606","111"
"2257900","INTERNATIONAL ACADEMY","SOUTH DAYTONA","FL","Proprietary 2 Year","822572","254"
"3031400","INTERNATIONAL ACADEMY OF DESIGN AND TECH","TAMPA","FL","Proprietary 4 Year","15211586","3898"
"4243600","INTERNATIONAL HAIR AND BARBER ACADEMY","BOCA RATON","FL","Proprietary 2 Year","62580","19"
"3411400","INTERNATIONAL TRAINING CAREERS","MIAMI","FL","Private 2 Year","1235406","272"
"3627400","JACKSONVILLE BEAUTY INSTITUTE","JACKSONVILLE","FL","Proprietary 2 Year","427745","117"
"149500","JACKSONVILLE UNIVERSITY","JACKSONVILLE","FL","Private 4 Year","3859314","1041"
"149700","JONES COLLEGE","JACKSONVILLE","FL","Private 4 Year","1727974","494"
"4162000","JOSE MARIA VARGAS UNIVERSITY","PEMBROKE PINES","FL","Proprietary 4 Year","56283","18"
"4213200","KAIZEN BEAUTY ACADEMY","PEMBROKE PINES","FL","Proprietary 2 Year","82098","21"
"2151900","KEISER  UNIVERSITY","FORT LAUDERDALE","FL","Private 4 Year","60763571","14802"
"2325100","KEY COLLEGE","DANIA BEACH","FL","Proprietary 2 Year","205579","53"
"2573200","LA BELLE BEAUTY ACADEMY","MIAMI","FL","Proprietary 2 Year","1171138","332"
"2287100","LA BELLE BEAUTY SCHOOL","HIALEAH","FL","Proprietary 2 Year","1020766","268"
"150200","LAKE SUMTER COMMUNITY COLLEGE","LEESBURG","FL","Public 4 Year","5546905","1688"
"2228300","LAKE TECHNICAL CENTER","EUSTIS","FL","Public 2 Year","1278774","367"
"4242000","LATIN BEAUTY ACADEMY","GREENACRES","FL","Proprietary 2 Year","53378","20"
"755800","LEE COUNTY HIGH TECH CENTER CENTRAL","FORT MYERS","FL","Public 2 Year","1202534","339"
"3158300","LEE COUNTY HIGH TECH CENTER NORTH","CAPE CORAL","FL","Public 2 Year","625169","168"
"4233400","LEE PROFESSIONAL INSTITUTE","FORT MYERS","FL","Proprietary 2 Year","210181","65"
"3390300","LINCOLN TECHNICAL INSTITUTE","FERN PARK","FL","Proprietary 2 Year","647744","193"
"558600","LINDSEY HOPKINS TECHNICAL ED CENTER","MIAMI","FL","Public 2 Year","1321198","402"
"558500","LIVELY TECHNICAL CENTER","TALLAHASSEE","FL","Public 2 Year","1861268","588"
"1016100","LORAINE'S ACADEMY, INC","ST PETERSBURG","FL","Proprietary 2 Year","430784","149"
"1323400","LORENZO WALKER INST OF TECHNOLOGY","NAPLES","FL","Public 2 Year","763165","215"
"150500","LYNN UNIVERSITY","BOCA RATON","FL","Private 4 Year","1727604","401"
"4128400","MANAGEMENT RESOURCES INSTITUTE","MIAMI","FL","Proprietary 4 Year","2551092","654"
"561200","MANATEE TECHNICAL INSTITUTE","BRADENTON","FL","Public 2 Year","2320995","653"
"2148300","MANHATTAN BEAUTY SCHOOL","TAMPA","FL","Proprietary 2 Year","84441","22"
"4146300","MARCHMAN TECHNICAL EDUCATION CENTER","NEW PORT RICHEY","FL","Public 2 Year","623392","188"
"2156300","MARGATE SCHOOL OF BEAUTY","MARGATE","FL","Proprietary 2 Year","2865","1"
"3103900","MARION COUNTY COMMUNITY TECH & ADUL","OCALA","FL","Public 2 Year","1231915","311"
"560800","MAYNARD A. TRAVISS CAREER CENTER","LAKELAND","FL","Public 2 Year","1243110","335"
"3003600","MCFATTER TECHNICAL CENTER","DAVIE","FL","Public 2 Year","978281","267"
"3875300","MCI INSTITUTE OF TECHNOLOGY","WEST PALM BEACH","FL","Proprietary 2 Year","595803","185"
"4148500","MEDICAL INSTITUTE OF PALM BEACH","GREENACRES","FL","Proprietary 2 Year","335339","90"
"3099600","MERCY HOSPITAL SCHOOL OF PRACTICAL NSG","MIAMI","FL","Proprietary 2 Year","148021","47"
"2326800","MERIDIAN COLLEGE","SARASOTA","FL","Proprietary 2 Year","825783","219"
"4227500","MERRYFIELD SCHOOL OF PET GROOMING","OAKLAND PARK","FL","Proprietary 2 Year","106046","40"
"3125600","MIAMI AD SCHOOL","MIAMI BEACH","FL","Proprietary 2 Year","135676","30"
"150604","MIAMI DADE COLLEGE - MEDICAL CAMPUS","MIAMI","FL","Public 4 Year","6951691","2023"
"150601","MIAMI DADE COLLEGE - NORTH CAMPUS","MIAMI","FL","Public 4 Year","36588282","9762"
"150603","MIAMI DADE COLLEGE - WOLFSON CAMPUS","MIAMI","FL","Public 4 Year","25834006","6825"
"150600","MIAMI DADE COLLEGE ADMINISTRATION ONLY","MIAMI","FL","Public 4 Year","88146680","24405"
"887800","MIAMI INTERNATIONAL UNIV ART&DESIGN","MIAMI","FL","Proprietary 4 Year","7344500","1904"
"2316200","MIAMI LAKES TECHNICAL EDUCATION CTR","MIAMI LAKES","FL","Public 2 Year","1293635","469"
"4182500","MILLENNIA ATLANTIC UNIVERSITY","DORAL","FL","Proprietary 4 Year","54709","16"
"4220200","MORE TECH INSTITUTE","HIALEAH","FL","Proprietary 2 Year","258283","80"
"3035900","NATIONAL AVIATION ACADEMY","CLEARWATER","FL","Proprietary 2 Year","2991480","670"
"3957400","NEW COLLEGE OF FLORIDA","SARASOTA","FL","Public 4 Year","1083938","248"
"3433400","NEW CONCEPT MASSAGE AND BEAUTY SCHO","MIAMI","FL","Proprietary 2 Year","429636","109"
"3224300","NEW PROFESSIONS TECHNICAL INSTITUTE","MIAMI","FL","Proprietary 2 Year","2122068","596"
"4140800","NORTH FLORIDA ACADEMY","ORANGE PARK","FL","Proprietary 2 Year","99035","26"
"150800","NORTH FLORIDA COMMUNITY COLLEGE","MADISON","FL","Public 2 Year","2137164","694"
"3557300","NORTH FLORIDA COSMETOLOGY INSTITUTE","TALLAHASSEE","FL","Proprietary 2 Year","487555","155"
"151000","NORTHWEST FLORIDA STATE COLLEGE","NICEVILLE","FL","Public 4 Year","8522359","2629"
"3089200","NOUVELLE INSTITUTE","MIAMI","FL","Proprietary 2 Year","1880726","534"
"150900","NOVA SOUTHEASTERN UNIVERSITY","FORT LAUDERDALE","FL","Private 4 Year","9326928","2267"
"2501500","O*TEC, MID-FLORIDA TECH","ORLANDO","FL","Public 2 Year","1046196","301"
"2321200","ORANGE TECH EDUC CTR- WESTSIDE TECH","WINTER GARDEN","FL","Public 2 Year","1119263","342"
"2513200","ORLANDO TECHNICAL CENTER","ORLANDO","FL","Public 2 Year","672233","201"
"4106300","PALM BEACH ACADEMY OF HEALTH & BEAUTY","LAKE PARK","FL","Proprietary 2 Year","887818","266"
"884900","PALM BEACH ATLANTIC UNIVERSITY","WEST PALM BEACH","FL","Private 4 Year","4452999","1107"
"151200","PALM BEACH COMMUNITY COLLEGE","LAKE WORTH","FL","Public 4 Year","41904707","13046"
"4225000","PARISIAN SPA INSTITUTE","JACKSONVILLE","FL","Proprietary 2 Year","282550","82"
"1065200","PASCO-HERNANDO COMMUNITY CLG","NEW PORT RICHEY","FL","Public 4 Year","20262284","6018"
"2149900","PAUL MITCHELL THE SCHOOL-JACKSONVILLE","JACKSONVILLE","FL","Proprietary 2 Year","1451904","366"
"4105400","PENSACOLA SCHOOL OF MASSAGE THERAPY & HE","PENSACOLA","FL","Proprietary 2 Year","332168","99"
"151300","PENSACOLA STATE COLLEGE","PENSACOLA","FL","Public 4 Year","14838288","4460"
"560500","PINELLAS TECH ED CTR-CLEARWATER","CLEARWATER","FL","Public 2 Year","1837039","542"
"2115300","PINELLAS TECHNICAL EDUCATION CENTERS - S","ST PETERSBURG","FL","Public 2 Year","1910384","595"
"151400","POLK STATE COLLEGE","WINTER HAVEN","FL","Public 4 Year","19722963","6193"
"3114700","PRAXIS INSTITUTE","MIAMI","FL","Proprietary 2 Year","1084040","270"
"4214500","PRESTIGE HEALTH & BEAUTY SCIENCES ACADEM","NORTH MIAMI BEACH","FL","Proprietary 2 Year","83026","26"
"4143100","PROFESSIONAL HANDS INSTITUTE","MIAMI","FL","Proprietary 2 Year","341336","82"
"3348400","PROFESSIONAL TRAINING CENTERS","MIAMI","FL","Proprietary 4 Year","2932459","782"
"2554200","RADFORD LOCKLIN TECH CENTER","MILTON","FL","Public 2 Year","619458","162"
"2511700","RIDGE TECHNICAL CENTER","WINTER HAVEN","FL","Public 2 Year","1008774","274"
"1257400","RINGLING SCHOOL OF ART AND DESIGN","SARASOTA","FL","Private 4 Year","1482536","325"
"2524200","ROBERT MORGAN EDUCATIONAL CENTER","MIAMI","FL","Public 2 Year","1188839","368"
"151500","ROLLINS COLLEGE","WINTER PARK","FL","Private 4 Year","3383536","841"
"3696400","SABER","MIAMI","FL","Private 2 Year","2935484","650"
"4207900","SAE INSTITUTE OF TECHNOLOGY - MIAMI","NORTH MIAMI BEACH","FL","Proprietary 2 Year","9235","3"
"152300","SAINT JOHNS RIVER STATE COLLEGE","PALATKA","FL","Public 4 Year","10434743","3122"
"152600","SAINT LEO UNIVERSITY","SAINT LEO","FL","Private 4 Year","31319538","8683"
"2612700","SALON PROFESSIONAL ACADEMY - MELBOURNE,","MELBOURNE","FL","Proprietary 2 Year","334547","108"
