"OPEID","NAME","CITY","STATE","Type & Control","Recipients","Awards"
"2091700","KAPLAN COLLEGE","SAN DIEGO","CA","Proprietary 2 Year","1565","6919194.9999999898"
"2306300","KAPLAN COLLEGE","SALIDA","CA","Proprietary 2 Year","1760","6892821"
"2351900","KAPLAN COLLEGE","SACRAMENTO","CA","Proprietary 2 Year","1584","6146386.9999999898"
"2539100","KAPLAN COLLEGE","NORTH HOLLYWOOD","CA","Proprietary 2 Year","1710","6537913"
"2549000","KAPLAN COLLEGE","VISTA","CA","Proprietary 2 Year","1773","7270942.9999999898"
"2565400","KAPLAN COLLEGE","STOCKTON","CA","Proprietary 2 Year","545","1926825"
"3044500","KAPLAN COLLEGE","PANORAMA CITY","CA","Proprietary 2 Year","263","1041946"
"3308300","KENSINGTON COLLEGE","SANTA ANA","CA","Proprietary 4 Year","26","92882"
"3516300","KING'S UNIVERSITY (THE)","VAN NUYS","CA","Private 4 Year","130","406414"
"4163900","L.A. BARBER COLLEGE","LOS ANGELES","CA","Proprietary 2 Year","70","335780"
"616500","LA CNTY CLG OF NURSING & ALLD HLTH","LOS ANGELES","CA","Public 2 Year","83","212648"
"2312400","LA COLLEGE INTERNATIONAL","LOS ANGELES","CA","Proprietary 4 Year","924","3913922"
"121500","LA SIERRA UNIVERSITY","RIVERSIDE","CA","Private 4 Year","788","3348429"
"3853400","LADERA CAREER PATHS TRAINING CENTERS","LOS ANGELES","CA","Proprietary 2 Year","13","58849"
"2330500","LAGUNA COLLEGE OF ART AND DESIGN","LAGUNA BEACH","CA","Private 4 Year","176","675976"
"1290700","LAKE TAHOE COMMUNITY COLLEGE","SOUTH LAKE TAHOE","CA","Public 2 Year","732","2254454"
"1301000","LANCASTER BEAUTY SCHOOL","LANCASTER","CA","Proprietary 2 Year","152","692930"
"126600","LANEY COLLEGE","OAKLAND","CA","Public 2 Year","3192","12399106"
"3035700","LAS POSITAS COLLEGE","LIVERMORE","CA","Public 2 Year","1893","6008815.0000000102"
"121700","LASSEN COLLEGE","SUSANVILLE","CA","Public 2 Year","670","2356019"
"4141400","LAURUS COLLEGE","SAN LUIS OBISPO","CA","Proprietary 2 Year","403","1183331"
"3210300","LE CORDON BLEU COLLEGE OF CULINARY ARTS","PASADENA","CA","Proprietary 2 Year","7053","30078437.000000101"
"2270600","LIFE PACIFIC COLLEGE","SAN DIMAS","CA","Private 4 Year","192","746992"
"697500","LINCOLN UNIVERSITY","OAKLAND","CA","Private 4 Year","36","150467"
"2494800","LOLA BEAUTY COLLEGE","GARDEN GROVE","CA","Proprietary 2 Year","67","317349"
"121800","LOMA LINDA UNIVERSITY","LOMA LINDA","CA","Private 4 Year","335","1390399"
"121900","LONG BEACH CITY COLLEGE","LONG BEACH","CA","Public 2 Year","12459","43429533"
"122300","LOS ANGELES CITY COLLEGE","LOS ANGELES","CA","Public 2 Year","6582","24660205.999999899"
"4037300","LOS ANGELES FILM SCHOOL (THE)","HOLLYWOOD","CA","Proprietary 2 Year","1720","7980414"
"122400","LOS ANGELES HARBOR COLLEGE","WILMINGTON","CA","Public 2 Year","3934","13175160"
"1255000","LOS ANGELES MISSION COLLEGE","SYLMAR","CA","Public 2 Year","3451","11934219"
"3868400","LOS ANGELES MUSIC ACADEMY","PASADENA","CA","Proprietary 2 Year","36","123234"
"2570300","LOS ANGELES ORT COLLEGE","LOS ANGELES","CA","Private 2 Year","894","3711184"
"122600","LOS ANGELES PIERCE COLLEGE","WOODLAND HILLS","CA","Public 2 Year","6953","23732835"
"2612800","LOS ANGELES RECORDING SCHOOL","HOLLYWOOD","CA","Proprietary 2 Year","8","23807"
"704700","LOS ANGELES SOUTHWEST COLLEGE","LOS ANGELES","CA","Public 2 Year","3612","12275115"
"122700","LOS ANGELES TRADE TECH COLLEGE","LOS ANGELES","CA","Public 2 Year","5728","19972653"
"122800","LOS ANGELES VALLEY COLLEGE","VALLEY GLEN","CA","Public 2 Year","6714","23004456.999999899"
"1034000","LOS MEDANOS COLLEGE","PITTSBURG","CA","Public 2 Year","3092","10313203"
"1164900","LOYOLA MARYMOUNT UNIVERSITY","LOS ANGELES","CA","Private 4 Year","1251","5238005.0000000102"
"1186600","LU ROSS ACADEMY","VENTURA","CA","Proprietary 2 Year","166","685970"
"714200","LYLE'S COLLEGE OF BEAUTY","FRESNO","CA","Proprietary 2 Year","216","1000544"
"1324000","LYTLE'S REDWOOD EMPIRE BEAUTY CLG","SANTA ROSA","CA","Proprietary 2 Year","79","370193"
"2208600","MADERA BEAUTY COLLEGE","MADERA","CA","Proprietary 2 Year","86","331768"
"4092400","MAKE-UP DESIGNORY","BURBANK","CA","Proprietary 2 Year","203","625209"
"1231600","MANCHESTER BEAUTY COLLEGE","FRESNO","CA","Proprietary 2 Year","143","519025"
"3440400","MARIAN HEALTH CAREERS CENTER","LOS ANGELES","CA","Proprietary 2 Year","140","512218"
"1265000","MARINELLO SCHOOL OF BEAUTY","BURBANK","CA","Proprietary 2 Year","620","2747399"
"1265100","MARINELLO SCHOOL OF BEAUTY","CITY OF INDUSTRY","CA","Proprietary 2 Year","203","714435"
"1291100","MARINELLO SCHOOL OF BEAUTY","HUNTINGTON BEACH","CA","Proprietary 2 Year","131","490503"
"2054900","MARINELLO SCHOOL OF BEAUTY","LAKE FOREST","CA","Proprietary 2 Year","192","703969"
"2086400","MARINELLO SCHOOL OF BEAUTY","SANTA CLARE","CA","Proprietary 2 Year","955","3814077"
"2174600","MARINELLO SCHOOL OF BEAUTY","BELL","CA","Proprietary 2 Year","268","1300482"
"2221300","MARINELLO SCHOOL OF BEAUTY","MORENO VALLEY","CA","Proprietary 2 Year","541","2455476"
"2255600","MARINELLO SCHOOL OF BEAUTY","PARAMOUNT","CA","Proprietary 2 Year","282","1309481"
"2338700","MARINELLO SCHOOL OF BEAUTY","SAN FRANCISCO","CA","Proprietary 2 Year","542","2125401"
"3467300","MARINELLO SCHOOL OF BEAUTY","HEMET","CA","Proprietary 2 Year","780","3099656"
"747600","MARINELLO SCHOOLS OF BEAUTY","LOS ANGELES","CA","Proprietary 2 Year","3471","14942610.999999899"
"3074900","MARTINEZ ADULT CENTER","MARTINEZ","CA","Public 2 Year","39","127851"
"1047400","MARYMOUNT COLLEGE OF PALOS VERDES","RANCHO PALOS VERD","CA","Private 4 Year","267","1206438"
"122000","MASTER'S COLLEGE & SEMINARY (THE)","SANTA CLARITA","CA","Private 4 Year","377","1475105"
"4049300","MAXINE WATERS EMPLOYMENT PREPARATION CEN","LOS ANGELES","CA","Public 2 Year","49","185563"
"4115600","MAYFIELD COLLEGE","CATHEDRAL CITY","CA","Proprietary 2 Year","531","1931360"
"1167200","MENDOCINO COLLEGE","UKIAH","CA","Public 2 Year","1655","5567241"
"123600","MENLO COLLEGE","ATHERTON","CA","Private 4 Year","209","866544.99999999895"
"123700","MERCED COMMUNITY COLLEGE","MERCED","CA","Public 2 Year","6970","25011712"
"126700","MERRITT COLLEGE","OAKLAND","CA","Public 2 Year","1614","5786729"
"369110","MIDDLEBURY COLLEGE - MONTEREY INSTITUTE","MONTEREY","CA","Private 4 Year","9","41707"
"123800","MILLS COLLEGE","OAKLAND","CA","Private 4 Year","482","2059122"
"123900","MIRACOSTA COLLEGE","OCEANSIDE","CA","Public 2 Year","1787","5589755"
"2119100","MISSION COLLEGE","SANTA CLARA","CA","Public 2 Year","2864","9713535"
"720400","MODERN BEAUTY ACADEMY","OXNARD","CA","Proprietary 2 Year","78","358043"
"3063400","MODERN TECHNOLOGY SCHOOL","FOUNTAIN VALLEY","CA","Proprietary 2 Year","169","758678"
"124000","MODESTO JUNIOR COLLEGE","MODESTO","CA","Public 2 Year","7499","26469738"
"4001400","MOJAVE BARBER COLLEGE","VICTORVILLE","CA","Proprietary 2 Year","75","339889"
"2185800","MOLER BARBER COLLEGE","OAKLAND","CA","Proprietary 2 Year","35","151209"
"2345800","MONTEBELLO BEAUTY COLLEGE","MONTEBELLO","CA","Proprietary 2 Year","142","596313"
"124200","MONTEREY PENINSULA COLLEGE","MONTEREY","CA","Public 2 Year","1735","5612354.9999999898"
"711500","MOORPARK COLLEGE","MOORPARK","CA","Public 2 Year","2103","7445826.9999999898"
"124300","MOUNT ST MARYS COLLEGE","LOS ANGELES","CA","Private 4 Year","1342","5407630.9999999898"
"3062400","MT DIABLO ADULT EDUC LOMA VISTA CTR","CONCORD","CA","Public 2 Year","78","257352"
"124600","MT SAN JACINTO COLLEGE","SAN JACINTO","CA","Public 2 Year","5793","17215644"
"3128700","MT SIERRA COLLEGE","MONROVIA","CA","Proprietary 4 Year","459","1422785"
"124500","MT. SAN ANTONIO COLLEGE","WALNUT","CA","Public 2 Year","10563","36112669"
"2546400","MTI BUSINESS COLLEGE INC","STOCKTON","CA","Proprietary 2 Year","157","588990"
"1291200","MTI COLLEGE","SACRAMENTO","CA","Proprietary 2 Year","975","3635343"
"3933300","MUELLER COLLEGE OF HOLISTIC STUDIES","SAN DIEGO","CA","Proprietary 2 Year","230","599729"
"2161800","MUSICIANS INSTITUTE","HOLLYWOOD","CA","Proprietary 4 Year","751","2491748"
"3458300","MY LE'S BEAUTY COLLEGE","SACRAMENTO","CA","Proprietary 2 Year","161","732100"
"4148900","N CALIF INSTITUTE OF COSMETOLOGY","SAN LEANDRO","CA","Proprietary 2 Year","61","252243"
"124700","NAPA VALLEY COLLEGE","NAPA","CA","Public 2 Year","1752","6039352"
"4146000","NATIONAL CAREER COLLEGE","NORTH HOLLYWOOD","CA","Proprietary 2 Year","51","193663"
"2542300","NATIONAL HOLISTIC INSTITUTE","EMERYVILLE","CA","Proprietary 2 Year","490","2008977"
"3910400","NATIONAL POLYTECHNIC COLLEGE","COMMERCE","CA","Proprietary 2 Year","373","1738277"
"1146000","NATIONAL UNIVERSITY","LA JOLLA","CA","Private 4 Year","3271","11197238"
"4118800","NEW YORK FILM ACADEMY","UNIVERSAL CITY","CA","Proprietary 4 Year","56","212051"
"713000","NEWBERRY SCHOOLS OF BEAUTY","GRANADA HILLS","CA","Proprietary 2 Year","152","573232"
"2584200","NEWBRIDGE COLLEGE","SANTA ANA","CA","Proprietary 2 Year","725","2947936"
"3043900","NEWSCHOOL OF ARCHITECTURE & DESIGN","SAN DIEGO","CA","Proprietary 4 Year","272","1232830"
"718700","NORTH ADRIAN'S COLLEGE OF BEAUTY","MODESTO","CA","Proprietary 2 Year","333","1269690"
"1170700","NORTH-WEST COLLEGE","WEST COVINA","CA","Proprietary 2 Year","782","3265934.0000000098"
"1287200","NORTH-WEST COLLEGE","POMONA","CA","Proprietary 2 Year","636","2654120"
"2591600","NORTH-WEST COLLEGE","PASADENA","CA","Proprietary 2 Year","216","797285.00000000105"
"3399300","NORTHWESTERN TECHNICAL COLLEGE","GOLD RIVER","CA","Proprietary 2 Year","668","3450055"
"117900","NOTRE DAME DE NAMUR UNIVERSITY","BELMONT","CA","Private 4 Year","487","1775325"
"3590400","NTMA TRAINING CENTERS OF SOUTHERN C","NORWALK","CA","Private 2 Year","599","2605551"
"124900","OCCIDENTAL COLLEGE","LOS ANGELES","CA","Private 4 Year","492","2029664"
"1298900","OCEANSIDE COLLEGE OF BEAUTY","OCEANSIDE","CA","Proprietary 2 Year","76","354237"
"448100","OHLONE COLLEGE","FREMONT","CA","Public 2 Year","1615","5312182"
"125000","ORANGE COAST COLLEGE - FIN AID OFF","COSTA MESA","CA","Public 2 Year","4692","18517683"
"125100","OTIS COLLEGE OF ART AND DESIGN","LOS ANGELES","CA","Private 4 Year","551","2598440"
"1284200","OXNARD COLLEGE","OXNARD","CA","Public 2 Year","2687","9358016.9999999907"
"3901300","PACIFIC COAST TRADE SCHOOL","OXNARD","CA","Proprietary 2 Year","266","1074889"
"3299300","PACIFIC COLLEGE","COSTA MESA","CA","Proprietary 4 Year","311","1119462"
"3027700","PACIFIC COLLEGE OF ORIENTAL MED","SAN DIEGO","CA","Proprietary 4 Year","283","1242128"
"125500","PACIFIC OAKS COLLEGE","PASADENA","CA","Private 4 Year","96","219193"
"3163300","PACIFIC STATES UNIVERSITY","LOS ANGELES","CA","Private 4 Year","1","5550"
"125800","PACIFIC UNION COLLEGE","ANGWIN","CA","Private 4 Year","603","2468915"
"4001300","PALACE BEAUTY COLLEGE","LOS ANGELES","CA","Proprietary 2 Year","158","669808"
"4014400","PALLADIUM TECHNICAL ACADEMY","EL MONTE","CA","Proprietary 2 Year","101","448326"
"2138300","PALO ALTO UNIVERSITY","PALO ALTO","CA","Private 4 Year","55","247457"
"125900","PALO VERDE COLLEGE","BLYTHE","CA","Public 2 Year","428","1532908"
"126000","PALOMAR COLLEGE","SAN MARCOS","CA","Public 2 Year","3930","12816121"
"2537200","PALOMAR INSTITUTE OF COSMETOLOGY","SAN MARCOS","CA","Proprietary 2 Year","158","592928"
"2059800","PARIS BEAUTY COLLEGE","CONCORD","CA","Proprietary 2 Year","109","412136"
"126100","PASADENA CITY COLLEGE","PASADENA","CA","Public 2 Year","8168","29758484"
"449000","PATTEN UNIVERSITY","OAKLAND","CA","Private 4 Year","393","1445253"
"4175200","PAUL MITCHELL THE SCHOOL EAST BAY","PLEASANT HILL","CA","Proprietary 2 Year","133","578143"
"4165900","PAUL MITCHELL THE SCHOOL FRESNO","FRESNO","CA","Proprietary 2 Year","140","617467"
"4158200","PAUL MITCHELL THE SCHOOL SHERMAN OAKS","SHERMAN OAKS","CA","Proprietary 2 Year","167","792851"
"1014900","PEPPERDINE UNIVERSITY","MALIBU","CA","Private 4 Year","871","3840795"
"2608900","PINNACLE COLLEGE","ALHAMBRA","CA","Proprietary 2 Year","231","941600"
"117200","PITZER COLLEGE","CLAREMONT","CA","Private 4 Year","200","776004"
"3062700","PLATT COLLEGE","LOS ANGELES","CA","Proprietary 4 Year","903","4751346.9999999898"
"2304300","PLATT COLLEGE, SAN DIEGO","SAN DIEGO","CA","Proprietary 4 Year","283","1626416"
"126200","POINT LOMA NAZARENE UNIVERSITY","SAN DIEGO","CA","Private 4 Year","668","2689959"
"3029600","POMONA ADULT SCHOOL","POMONA","CA","Public 2 Year","211","532107"
"117300","POMONA COLLEGE","CLAREMONT","CA","Private 4 Year","274","1176135"
"126800","PORTERVILLE COLLEGE","PORTERVILLE","CA","Public 2 Year","2670","9614516.0000000093"
"1162600","PRACTICAL SCHOOLS","ANAHEIM","CA","Proprietary 4 Year","2028","11583422"
"4150500","PREFERRED COLLEGE OF NURSING, LOS ANGELE","LOS ANGELES","CA","Proprietary 2 Year","150","829345"
"3125800","PREMIERE CAREER COLLEGE","IRWINDALE","CA","Proprietary 2 Year","480","2175337"
"3479300","PROFESSIONAL CAREER INSTITUTE","CERRITOS","CA","Proprietary 2 Year","122","441839"
"3367300","PROFESSIONAL GOLFERS CAREER COLLEGE","TEMECULA","CA","Proprietary 2 Year","230","1029769"
"1298400","PROFESSIONAL INSTITUTE OF BEAUTY","EL MONTE","CA","Proprietary 2 Year","206","873490"
"4023400","PROTEUS","VISALIA","CA","Private 2 Year","10","35581"
"4153900","PROVIDENCE CHRISTIAN COLLEGE","PASADENA","CA","Private 4 Year","27","102250"
"4177200","REAL BARBERS COLLEGE (THE)","ANAHEIM","CA","Proprietary 2 Year","67","275721"
"130800","REEDLEY COLLEGE","REEDLEY","CA","Public 2 Year","5673","19281001"
"126900","RIO HONDO COLLEGE","WHITTIER","CA","Public 2 Year","5802","18442495.999999899"
"127000","RIVERSIDE CITY COLLEGE","RIVERSIDE","CA","Public 2 Year","13658","44279214"
"1294200","ROSEMEAD BEAUTY SCHOOL","ROSEMEAD","CA","Proprietary 2 Year","394","1887493"
"3054100","ROYALE COLLEGE OF BEAUTY","TEMECULA","CA","Proprietary 2 Year","97","394037"
"4150300","RWM FIBER OPTICS","CARSON","CA","Proprietary 2 Year","33","135679"
"4162800","S.I.C.E PAUL MITCHELL PARTNER SCHOOL","MODESTO","CA","Proprietary 2 Year","202","843211"
"123300","SACRAMENTO CITY COLLEGE","SACRAMENTO","CA","Public 2 Year","8880","26970098"
"891800","SADDLEBACK COLLEGE","MISSION VIEJO","CA","Public 2 Year","2371","8498774.0000000093"
"3069500","SAGE COLLEGE","MORENO VALLEY","CA","Proprietary 2 Year","403","1275009"
"130200","SAINT MARY'S COLLEGE OF CALIFORNIA","MORAGA","CA","Private 4 Year","983","3904943"
"4185200","SALINAS BEAUTY COLLEGE","SALINAS","CA","Proprietary 2 Year","17","61391"
"720300","SALON SUCCESS ACADEMY","UPLAND","CA","Proprietary 2 Year","171","706106"
"1309500","SALON SUCCESS ACADEMY","CORONA","CA","Proprietary 2 Year","359","1548288"
"2211000","SALON SUCCESS ACADEMY","SAN BERNARDINO","CA","Proprietary 2 Year","64","310471"
"701200","SAMUEL MERRITT COLLEGE","OAKLAND","CA","Private 4 Year","155","585787"
"127200","SAN BERNARDINO VALLEY COLLEGE","SAN BERNARDINO","CA","Public 2 Year","5385","17001102"
"1203100","SAN DIEGO CHRISTIAN COLLEGE","EL CAJON","CA","Private 4 Year","302","1051196"
"127300","SAN DIEGO CITY COLLEGE","SAN DIEGO","CA","Public 2 Year","7321","25022529.999999899"
"2241600","SAN DIEGO CONTINUING EDUCATION","SAN DIEGO","CA","Public 2 Year","206","654456"
"4145000","SAN DIEGO CULINARY INSTITUTE","SAN DIEGO","CA","Proprietary 2 Year","76","210759"
"127500","SAN DIEGO MESA COLLEGE","SAN DIEGO","CA","Public 2 Year","4507","15716696"
"1182000","SAN DIEGO MIRAMAR COLLEGE","SAN DIEGO","CA","Public 2 Year","2293","7812911.9999999804"
"115100","SAN DIEGO STATE UNIVERSITY","SAN DIEGO","CA","Public 4 Year","10833","48096431.000000201"
"394800","SAN FRANCISCO ART INSTITUTE","SAN FRANCISCO","CA","Private 4 Year","138","575246"
"127800","SAN FRANCISCO CONSERVATORY OF MUSIC","SAN FRANCISCO","CA","Private 4 Year","58","228123"
"4141300","SAN FRANCISCO INSTITUTE OF ESTHETICS","SAN FRANCISCO","CA","Proprietary 2 Year","107","480661"
"115400","SAN FRANCISCO STATE UNIVERSITY","SAN FRANCISCO","CA","Public 4 Year","10610","43109719.000000097"
"128000","SAN JOAQUIN DELTA COLLEGE","STOCKTON","CA","Public 2 Year","8988","32615270"
"2120700","SAN JOAQUIN VALLEY COLLEGE","VISALIA","CA","Proprietary 2 Year","8397","42747945.000000097"
"128200","SAN JOSE CITY COLLEGE","SAN JOSE","CA","Public 2 Year","2752","9263795.9999999907"
"115500","SAN JOSE STATE UNIVERSITY","SAN JOSE","CA","Public 4 Year","9160","37198186.999999903"
"4173400","SANTA ANA BEAUTY ACADEMY","SANTA ANA","CA","Proprietary 2 Year","23","108484"
"128400","SANTA ANA COLLEGE","SANTA ANA","CA","Public 2 Year","3801","13041707"
"998900","SANTA BARBARA BUSINESS COLLEGE","SANTA BARBARA","CA","Proprietary 2 Year","588","2506237"
"2577900","SANTA BARBARA BUSINESS COLLEGE","BAKERSFIELD","CA","Proprietary 4 Year","1295","6202882"
"2578000","SANTA BARBARA BUSINESS COLLEGE","SANTA MARIA","CA","Proprietary 4 Year","447","1999351"
"128500","SANTA BARBARA CITY COLLEGE","SANTA BARBARA","CA","Public 2 Year","4605","14823336"
"132600","SANTA CLARA UNIVERSITY","SANTA CLARA","CA","Private 4 Year","776","3285167"
"128600","SANTA MONICA COLLEGE","SANTA MONICA","CA","Public 2 Year","7444","25966781"
"128700","SANTA ROSA JUNIOR COLLEGE","SANTA ROSA","CA","Public 2 Year","4392","15243465"
"3695700","SANTIAGO CANYON COLLEGE","ORANGE","CA","Public 2 Year","1466","4842130"
"117400","SCRIPPS COLLEGE","CLAREMONT","CA","Private 4 Year","127","524923"
"2359300","SHASTA BIBLE COLLEGE","REDDING","CA","Private 4 Year","43","177788"
"128900","SHASTA COLLEGE","REDDING","CA","Public 2 Year","3869","12751135"
"4161700","SHASTA SCHOOL OF COSMETOLOGY","REDDING","CA","Proprietary 2 Year","64","324972"
"129000","SIERRA COLLEGE","ROCKLIN","CA","Public 2 Year","6545","22394695.999999899"
"2064300","SIERRA COLLEGE OF BEAUTY","MERCED","CA","Proprietary 2 Year","129","565651"
"2188400","SIERRA VALLEY COLLEGE OF COURT REPORTING","FRESNO","CA","Proprietary 2 Year","161","627374"
"129100","SIMPSON UNIVERSITY","REDDING","CA","Private 4 Year","678","2649847"
"950900","SKILLS & BUSINESS EDUCATION CENTER","SACRAMENTO","CA","Public 2 Year","617","2438021"
"771300","SKYLINE COLLEGE","SAN BRUNO","CA","Public 2 Year","2181","7683425.0000000196"
"122900","SO CA UNIV  HEALTH SCIENCES","WHITTIER","CA","Private 4 Year","15","36634"
"3814400","SOKA UNIVERSITY OF AMERICA","ALISO VIEJO","CA","Private 4 Year","118","526926"
"129200","SOLANO COMMUNITY COLLEGE","FAIRFIELD","CA","Public 2 Year","3283","10545910"
"115600","SONOMA STATE UNIVERSITY","ROHNERT PARK","CA","Public 4 Year","2312","9243733"
"2597300","SOUTH BAYLO UNIVERSITY","ANAHEIM","CA","Private 4 Year","55","219537"
"2277400","SOUTH COAST COLLEGE","ORANGE","CA","Proprietary 2 Year","314","1438381"
"3332300","SOUTHERN CA BIBLE CLG & SEMINARY","EL CAJON","CA","Private 4 Year","42","181630"
"2075800","SOUTHERN CA INST OF ARCHITECTURE","LOS ANGELES","CA","Private 4 Year","143","654583"
"3113600","SOUTHERN CALIFORNIA INST OF TECHNOL","ANAHEIM","CA","Proprietary 4 Year","838","3858159.0000000098"
"4172000","SOUTHERN CALIFORNIA UNIVERSITY SOMA","LOS ANGELES","CA","Proprietary 4 Year","2","4589"
"129400","SOUTHWESTERN COLLEGE","CHULA VISTA","CA","Public 2 Year","5586","21414510"
"3359300","ST. FRANCIS CAREER COLLEGE","LYNWOOD","CA","Private 2 Year","172","652209"
"3889300","STANBRIDGE COLLEGE","IRVINE","CA","Proprietary 4 Year","495","1758003"
"130500","STANFORD UNIVERSITY","STANFORD","CA","Private 4 Year","1230","5140624.9999999898"
"3108100","SUMMIT CAREER COLLEGE","COLTON","CA","Proprietary 2 Year","1592","7208414.9999999804"
"130900","TAFT COLLEGE","TAFT","CA","Public 2 Year","968","3424373"
"4057300","TECHSKILLS OF CALIFORNIA","SACRAMENTO","CA","Proprietary 2 Year","412","1271730"
"2236400","THANH LE COLG, SCH OF COSMETOLOGY","GARDEN GROVE","CA","Proprietary 2 Year","84","328673"
"2518400","THE NATIONAL HISPANIC UNIVERSITY","SAN JOSE","CA","Proprietary 4 Year","393","1438809"
"2358000","THOMAS AQUINAS COLLEGE","SANTA PAULA","CA","Private 4 Year","111","445727"
"4004300","THUY PRINCESS BEAUTY COLLEGE","POMONA","CA","Proprietary 2 Year","110","490609"
"4142500","TOURO COLLEGE LOS ANGELES","WEST HOLLYWOOD","CA","Private 4 Year","36","160630"
"4142600","TOURO UNIVERSITY","VALLEJO","CA","Private 4 Year","38","192703"
"4169200","TRAMY BEAUTY SCHOOL","SAN DIEGO","CA","Proprietary 2 Year","156","584363"
"2497300","TRINITY COLLEGE","VISALIA","CA","Proprietary 2 Year","788","3290574.0000000098"
"3403300","TRINITY LIFE BIBLE COLLEGE","SACRAMENTO","CA","Private 4 Year","293","1082333"
"4160100","TRINITY VOCATIONAL CENTER","GARDENA","CA","Proprietary 2 Year","102","353892"
"4127900","TUI UNIVERSITY","CYPRESS","CA","Proprietary 4 Year","885","3247010"
"1231700","TULARE BEAUTY COLLEGE","TULARE","CA","Proprietary 2 Year","72","289058"
"4176200","TWIN RIVERS ADULT SCHOOL","NORTH HIGHLANDS","CA","Public 2 Year","144","430929"
"3113300","UEI COLLEGE","FRESNO","CA","Proprietary 2 Year","723","2726075"
"3614300","UNITED BEAUTY COLLEGE","SOUTH EL MONTE","CA","Proprietary 2 Year","105","443572"
"2559300","UNITED EDUCATION INSTITUTE","LOS ANGELES","CA","Proprietary 2 Year","15663","59465440.999999799"
"4169700","UNITEK COLLEGE","FREMONT","CA","Proprietary 2 Year","276","1134340"
"1244600","UNIVERSAL COLLEGE OF BEAUTY","LOS ANGELES","CA","Proprietary 2 Year","100","444795"
"131500","UNIVERSITY OF CALIFORNIA (UCLA)","LOS ANGELES","CA","Public 4 Year","10165","49900126"
"4127100","UNIVERSITY OF CALIFORNIA, MERCED","MERCED","CA","Public 4 Year","2390","11647791"
"131200","UNIVERSITY OF CALIFORNIA-BERKELEY","BERKELEY","CA","Public 4 Year","9742","45375156"
"131300","UNIVERSITY OF CALIFORNIA-DAVIS","DAVIS","CA","Public 4 Year","10335","49098552"
"131400","UNIVERSITY OF CALIFORNIA-IRVINE","IRVINE","CA","Public 4 Year","8322","39792703.000000201"
"131600","UNIVERSITY OF CALIFORNIA-RIVERSIDE","RIVERSIDE","CA","Public 4 Year","10353","51895898.999999799"
"131700","UNIVERSITY OF CALIFORNIA-SAN DIEGO","LA JOLLA","CA","Public 4 Year","11071","53479126"
"132000","UNIVERSITY OF CALIFORNIA-SANTA BARB","SANTA BARBARA","CA","Public 4 Year","7069","33961345"
"132100","UNIVERSITY OF CALIFORNIA-SANTA CRUZ","SANTA CRUZ","CA","Public 4 Year","6048","27263749"
"3995300","UNIVERSITY OF EAST-WEST MEDICINE","SUNNYVALE","CA","Proprietary 4 Year","10","71194"
"121600","UNIVERSITY OF LA VERNE","LA VERNE","CA","Private 4 Year","2152","7409697.0000000196"
"132200","UNIVERSITY OF REDLANDS","REDLANDS","CA","Private 4 Year","1039","3717841"
"1039500","UNIVERSITY OF SAN DIEGO","SAN DIEGO","CA","Private 4 Year","958","3643306"
"132500","UNIVERSITY OF SAN FRANCISCO","SAN FRANCISCO","CA","Private 4 Year","1750","6990898"
"132800","UNIVERSITY OF SOUTHERN CALIFORNIA","LOS ANGELES","CA","Private 4 Year","3945","16570936"
"132900","UNIVERSITY OF THE PACIFIC","STOCKTON","CA","Private 4 Year","1599","6981855"
"3696300","UNIVERSITY OF THE WEST","ROSEMEAD","CA","Private 4 Year","12","49049"
"3441400","VALLEY CAREER COLLEGE","EL CAJON","CA","Proprietary 2 Year","397","1430401"
"4114500","VALLEY COLLEGE OF MEDICAL CAREERS","WEST HILLS","CA","Proprietary 2 Year","191","841279.99999999895"
"129300","VANGUARD UNIVERSITY OF SOUTHERN CA","COSTA MESA","CA","Private 4 Year","773","2928109"
"3084700","VENTURA ADULT\CONTINUING EDUCATION","VENTURA","CA","Public 2 Year","186","617107"
"133400","VENTURA COLLEGE","VENTURA","CA","Public 2 Year","3663","12970696"
"2128200","VICTOR VALLEY BEAUTY COLLEGE, INC","VICTORVILLE","CA","Proprietary 2 Year","179","821349"
"133500","VICTOR VALLEY COLLEGE","VICTORVILLE","CA","Public 2 Year","6066","21129317.999999899"
"4116000","VIDEO SYMPHONY ENTERTRAINING","BURBANK","CA","Proprietary 2 Year","144","744844"
"3010611","VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI","CARLSBAD","CA","Proprietary 4 Year","1","5550"
"3150500","VIRGINIA SEWING MACHINES & SCH CTR","LOS ANGELES","CA","Proprietary 2 Year","95","391053"
"3639300","WEST COAST ULTRASOUND INSTITUTE","BEVERLY HILLS","CA","Proprietary 2 Year","820","3654537"
"3698300","WEST COAST UNIVERSITY","LOS ANGELES","CA","Proprietary 4 Year","1479","7551176"
"4111300","WEST HILLS COLLEGE LEMOORE","LEMOORE","CA","Public 2 Year","2100","6488790"
"117600","WEST HILLS COMMUNITY COLLEGE","COALINGA","CA","Public 2 Year","1333","4946345"
"859600","WEST LOS ANGELES COLLEGE","CULVER CITY","CA","Public 2 Year","3979","13879220"
"133800","WEST VALLEY COLLEGE","SARATOGA","CA","Public 2 Year","2052","6907938.9999999804"
"3062300","WESTECH COLLEGE","ONTARIO","CA","Proprietary 2 Year","950","3363473"
